title,employer,address,min_salary,max_salary,currency,link
"Data QA Engineer, Global Music Company",DataArt,Алматы,,,,https://hh.kz/vacancy/49992873?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Digital маркетолог,ТОО Lead Partners,Алматы,,300000,KZT,https://hh.kz/vacancy/52016632?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Data QA Engineer, Global Music Company",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/49992874?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Sales Executive-Специалист отдела продаж и маркетинга,ТОО Гостиница Жетысу,"Алматы, Жибек Жолы",,,,https://hh.kz/vacancy/52038021?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Middle QA Engineer, Financial Segment",DataArt,Алматы,,,,https://hh.kz/vacancy/49993907?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
PPC-маркетолог,Peklo,Алматы,400,,USD,https://hh.kz/vacancy/52827699?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,"ИП GRAND ERBIL HOTEL, ТМ (Мамедова ИП)",Алматы,,200000,KZT,https://hh.kz/vacancy/52824680?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Legal Associate,Astana International Exchange,Нур-Султан,,,,https://hh.kz/vacancy/52829998?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Fullstack разработчика,ТОО IT Analytics,Караганда,600000,,KZT,https://hh.kz/vacancy/52821475?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Senior HR manager (temporary position),Nazarbayev University,Нур-Султан,,,,https://hh.kz/vacancy/52666235?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Category Planning & Activation Specialist, Biscuits & Salty Snacks, Central Asia & Caucasus",ТОО Mondelez Kazakhstan LLP,Алматы,,,,https://hh.kz/vacancy/52534783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Project Manager,ТОО Оргтехэнергострой,Алматы,,,,https://hh.kz/vacancy/52545837?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,Общественная организация ОИ Шебер,Шымкент,100000,200000,KZT,https://hh.kz/vacancy/52455919?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Project-Менеджер в SMM - агентство,ИП MarkCo,Алматы,250000,419000,KZT,https://hh.kz/vacancy/52378454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Transport Economist,ТОО Business Development Consulting,Алматы,,,,https://hh.kz/vacancy/52516082?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,ТОО МедМедиа Казахстан,Алматы,150000,150000,KZT,https://hh.kz/vacancy/52288694?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Главный менеджер по маркетингу,ТОО Халык Актив,Алматы,250000,300000,KZT,https://hh.kz/vacancy/52271518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Consultant - Tax & Legal Department - Global Employer Services group,"Deloitte, Caspian Region","Алматы, Абая",,,,https://hh.kz/vacancy/52288625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Accounting Manager,"ТОО КЕНТЕК КАЗАХСТАН,(ТОО ККТС)",Атырау,,,,https://hh.kz/vacancy/52170641?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Staff Attorney,Представительство Американской ассоциации юристов СИИЛИ Инк.,Нур-Султан,,,,https://hh.kz/vacancy/52014771?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Финансист-аналитик,ТОО INDATA Analytics,Алматы,,,,https://hh.kz/vacancy/51939457?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Таргетолог / SMM менеджер,ОФ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД THE ULYTAU EDUCATIONAL FOUNDATION,Нур-Султан,200000,250000,KZT,https://hh.kz/vacancy/52031552?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,ТОО iSAPA,Нур-Султан,100000,,KZT,https://hh.kz/vacancy/51933477?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Разработчик мобильных приложений iOS и Android,ТОО ИЦМО Болашак,Алматы,9,10,USD,https://hh.kz/vacancy/52024312?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Преподаватель физики,ТОО JOO ANALYTICS,Алматы,80000,100000,KZT,https://hh.kz/vacancy/51915700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
